sub-sectors,"process managers, supervisors & coordinators",accounting & financial services workers,"assistants, clerks & legal workers",business managers,public officials,"food, cleaning & services workers",customer representatives,shop & services managers,retail & sales workers,wholesale merchants,"ict system engineers, adminstrators & managers",developers & testers,data workers,art & media technicians,"journalists, publishers & composers",creative managers & graphic designers,perfomers,fine artists,social workers,care workers & counsellors,miscellaneous counsellors,researchers & science technicians,various engineers & architects,"mechanical engineers, designers & drafters",engineering technicians,construction workers & supervisors,"industrial technicians, mechanics & repairers",transport & security workers,environmental & agriculture workers,mining engineers & technicians,instructors & vocational teachers,teachers & childcare workers,lecturers,education administrators,doctors & specialist therapists,healthcare technicians & scientists,naturopathic & physical therapists,healthcare administrators & assistants,logistics & distribution managers,import export specialists,import export managers,shoe & leather manufacturing workers,textile workers,clothing manufacturing workers,metal workers & machine operators,chemical manufacturing workers,craftspersons & carpenters,paper & wood manufacturing workers,animal care workers & trainers  ,animal husbandry workers,aquaculture workers,food & tobacco production workers,food & tobacco production operators,food & tobacco production specialists
"process managers, supervisors & coordinators",0.3347,0.0372,0.0413,0.0826,0.0124,0.0124,0.0124,0.0620,0.0000,0.0000,0.0372,0.0041,0.0083,0.0083,0.0083,0.0289,0.0000,0.0000,0.0000,0.0000,0.0041,0.0000,0.0124,0.0372,0.0413,0.0124,0.0083,0.0909,0.0289,0.0041,0.0041,0.0000,0.0000,0.0000,0.0000,0.0041,0.0000,0.0000,0.0124,0.0248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0207
accounting & financial services workers,0.0927,0.3770,0.0192,0.1965,0.0751,0.0000,0.0016,0.0048,0.0000,0.0192,0.0831,0.0000,0.0016,0.0000,0.0144,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0447,0.0000,0.0064,0.0000,0.0000,0.0000,0.0032,0.0224,0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"assistants, clerks & legal workers",0.1101,0.1159,0.2667,0.1159,0.0870,0.0029,0.0348,0.0116,0.0116,0.0029,0.0116,0.0000,0.0029,0.0000,0.0377,0.0116,0.0000,0.0000,0.0232,0.0145,0.0000,0.0058,0.0000,0.0000,0.0145,0.0000,0.0000,0.0609,0.0087,0.0000,0.0029,0.0058,0.0000,0.0029,0.0087,0.0000,0.0000,0.0232,0.0000,0.0000,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
business managers,0.2222,0.0423,0.0053,0.2116,0.1058,0.0000,0.0053,0.0106,0.0000,0.0159,0.1852,0.0053,0.0053,0.0000,0.0106,0.0423,0.0000,0.0053,0.0106,0.0053,0.0000,0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.0265,0.0053,0.0317,0.0053,0.0053,0.0265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
public officials,0.0789,0.0088,0.0614,0.1842,0.4737,0.0000,0.0000,0.0000,0.0000,0.0175,0.0000,0.0000,0.0000,0.0000,0.0263,0.0263,0.0000,0.0000,0.0526,0.0175,0.0000,0.0175,0.0000,0.0000,0.0351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"food, cleaning & services workers",0.1022,0.0000,0.0584,0.0657,0.0000,0.3869,0.1971,0.1241,0.0000,0.0146,0.0000,0.0000,0.0073,0.0000,0.0146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,0.0000,0.0000,0.0000,0.0000,0.0000
customer representatives,0.0978,0.0217,0.0435,0.0924,0.0489,0.0652,0.2772,0.1304,0.0109,0.0924,0.0054,0.0000,0.0054,0.0000,0.0380,0.0054,0.0000,0.0000,0.0054,0.0000,0.0000,0.0000,0.0163,0.0000,0.0000,0.0054,0.0109,0.0163,0.0054,0.0000,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
shop & services managers,0.2963,0.0000,0.0000,0.2593,0.0185,0.0000,0.0741,0.1296,0.0000,0.0741,0.0370,0.0000,0.0000,0.0000,0.0370,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
retail & sales workers,0.0216,0.0000,0.0216,0.0000,0.0000,0.3309,0.1799,0.1942,0.0719,0.0719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,0.0288,0.0072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,0.0000,0.0216,0.0288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
wholesale merchants,0.0833,0.0000,0.0000,0.3750,0.0000,0.0000,0.0833,0.1667,0.0000,0.1667,0.0417,0.0000,0.0000,0.0000,0.0417,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"ict system engineers, adminstrators & managers",0.0565,0.0202,0.0000,0.0887,0.0000,0.0000,0.0040,0.0000,0.0000,0.0040,0.5081,0.1774,0.0363,0.0121,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0040,0.0040,0.0000,0.0000,0.0040,0.0000,0.0121,0.0000,0.0323,0.0081,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040
developers & testers,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3252,0.4065,0.1789,0.0000,0.0000,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
data workers,0.0143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3143,0.2000,0.3857,0.0000,0.0000,0.0143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
art & media technicians,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"journalists, publishers & composers",0.0476,0.0000,0.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5714,0.0000,0.0476,0.0000,0.0000,0.0000,0.0000,0.0476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
creative managers & graphic designers,0.0299,0.0000,0.0000,0.1194,0.0597,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0299,0.0000,0.0746,0.0746,0.5075,0.0000,0.0448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
perfomers,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
fine artists,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0556,0.0000,0.2222,0.0000,0.2222,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
social workers,0.1628,0.0233,0.0407,0.1047,0.1802,0.0000,0.0116,0.0233,0.0000,0.0058,0.0058,0.0000,0.0058,0.0000,0.0174,0.0291,0.0000,0.0000,0.0523,0.0581,0.0116,0.0000,0.0058,0.0000,0.0000,0.0058,0.0000,0.0116,0.0116,0.0000,0.0407,0.0407,0.0058,0.0349,0.0698,0.0174,0.0116,0.0116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
care workers & counsellors,0.0435,0.0000,0.0725,0.0870,0.2029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0290,0.0000,0.0000,0.0000,0.1014,0.1159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0435,0.1304,0.0000,0.0435,0.1014,0.0145,0.0145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
miscellaneous counsellors,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
researchers & science technicians,0.0000,0.0226,0.0000,0.0226,0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8045,0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
various engineers & architects,0.0341,0.0114,0.0000,0.0114,0.0000,0.0000,0.0114,0.0227,0.0000,0.0114,0.0114,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0568,0.3068,0.1136,0.2045,0.0000,0.0341,0.0227,0.0341,0.0341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0455,0.0000,0.0000,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0114
"mechanical engineers, designers & drafters",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.3750,0.3750,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
engineering technicians,0.0000,0.0000,0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1797,0.1328,0.0781,0.2188,0.0156,0.2031,0.0000,0.0313,0.0469,0.0000,0.0000,0.0000,0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0078,0.0000,0.0469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0234
